n_c,n_a,avl_add,avl_rem,rn_add,rn_rem,b1_add,b1_rem,b5_add,b5_rem,b10_add,b10_rem
10,10,58,39,28,35,31,26,20,10,20,10
20,10,151,108,80,86,80,68,49,32,40,20
50,10,512,385,262,269,256,220,143,104,130,87
100,10,1213,958,622,630,594,511,312,247,283,203
200,10,2838,2305,1450,1437,1361,1189,723,596,590,438
500,10,8435,7069,4318,4245,3926,3466,1967,1620,1693,1367
1000,10,18921,16102,9655,9481,8754,7840,4338,3764,3730,3052
2000,10,41889,36201,21354,20817,19231,17381,9475,8202,7804,6451
5000,10,118139,103580,60148,58147,53450,48463,24905,21592,20187,17233
10000,10,256851,226551,130801,124797,115335,104747,55046,49379,45509,39777
20000,10,555631,491232,282952,264040,245285,221839,116563,103678,96199,83396
